,@workoutActivityType,@duration,@durationUnit,@totalDistance,@totalDistanceUnit,@totalEnergyBurned,@totalEnergyBurnedUnit,@sourceName,@sourceVersion,@creationDate,@startDate,@endDate
49,Running,15.27643098433813,min,1.286629917741637,km,129.1559999999999,kcal,@DivyeshBC Watch 2.0,4.0,2017-11-17 20:15:54+01:00,2017-11-17 19:43:55+01:00,2017-11-17 20:15:53+01:00
51,Running,48.516493866841,min,1.8097491911704418,km,223.638,kcal,@DivyeshBC Watch 2.0,4.0,2017-11-19 11:56:01+01:00,2017-11-19 10:23:17+01:00,2017-11-19 11:11:48+01:00
55,Running,17.543246195713678,min,1.2995134492943758,km,149.44599999999969,kcal,@DivyeshBC Watch 2.0,4.1,2017-11-24 20:37:51+01:00,2017-11-24 20:06:41+01:00,2017-11-24 20:37:50+01:00
56,Running,14.24477641383807,min,1.39761427517503,km,144.9319999999999,kcal,@DivyeshBC Watch 2.0,4.1,2017-11-27 07:56:22+01:00,2017-11-27 07:36:08+01:00,2017-11-27 07:56:21+01:00
58,Running,14.437390915552779,min,1.2676043827174,km,142.015,kcal,@DivyeshBC Watch 2.0,4.1,2017-11-29 20:45:17+01:00,2017-11-29 20:20:29+01:00,2017-11-29 20:45:16+01:00
61,Running,12.79538373152415,min,1.2597474112808702,km,109.0510000000001,kcal,@DivyeshBC Watch 2.0,4.1,2017-12-06 20:28:13+01:00,2017-12-06 20:07:59+01:00,2017-12-06 20:28:12+01:00
63,Running,19.672969118754068,min,1.8772460411946517,km,193.5680000000004,kcal,@DivyeshBC Watch 2.0,4.1,2017-12-08 20:31:32+01:00,2017-12-08 20:00:15+01:00,2017-12-08 20:31:31+01:00
65,Running,17.03204352955023,min,1.684614410104929,km,154.28599999999992,kcal,@DivyeshBC Watch 2.0,4.1,2017-12-10 11:50:06+01:00,2017-12-10 11:20:00+01:00,2017-12-10 11:50:05+01:00
71,Running,22.05166958371798,min,2.011029709015856,km,194.89500000000007,kcal,@DivyeshBC Watch 2.0,4.1,2017-12-22 21:23:26+01:00,2017-12-22 20:51:05+01:00,2017-12-22 21:23:26+01:00
73,Running,32.38400841454665,min,3.103389629073674,km,335.4220000000005,kcal,@DivyeshBC Watch 2.0,4.2,2017-12-26 12:25:35+01:00,2017-12-26 11:39:46+01:00,2017-12-26 12:25:33+01:00
76,Running,17.498992948730788,min,1.899068587049143,km,162.9369999999999,kcal,@DivyeshBC Watch 2.0,4.2,2017-12-30 21:51:29+01:00,2017-12-30 21:23:33+01:00,2017-12-30 21:51:27+01:00
77,Running,35.44381438692411,min,3.2082294299810887,km,346.0190000000002,kcal,@DivyeshBC Watch 2.0,4.2,2018-01-01 13:32:16+01:00,2018-01-01 12:39:05+01:00,2018-01-01 13:32:13+01:00
79,Running,17.431909132997188,min,1.70588415044162,km,154.3330000000003,kcal,@DivyeshBC Watch 2.0,4.2,2018-01-02 19:38:42+01:00,2018-01-02 19:11:29+01:00,2018-01-02 19:38:39+01:00
80,Running,23.64147544503212,min,2.355727968644118,km,217.7209999999998,kcal,@DivyeshBC Watch 2.0,4.2,2018-01-05 20:59:16+01:00,2018-01-05 20:28:14+01:00,2018-01-05 20:59:14+01:00
84,Running,32.482674284776046,min,1.737595495337038,km,113.475,kcal,@DivyeshBC Watch 2.0,4.2,2018-01-07 22:19:07+01:00,2018-01-07 20:48:41+01:00,2018-01-07 22:19:04+01:00
88,Running,14.807231632868449,min,1.6505690581585513,km,140.47799999999998,kcal,@DivyeshBC Watch 2.0,4.2,2018-01-10 20:13:33+01:00,2018-01-10 19:50:53+01:00,2018-01-10 20:13:30+01:00
93,Running,20.62775319814682,min,2.078683130695252,km,205.9260000000004,kcal,@DivyeshBC Watch 2.0,4.2,2018-01-12 21:21:55+01:00,2018-01-12 20:54:01+01:00,2018-01-12 21:21:52+01:00
96,Running,27.40136603315671,min,2.3776962150498293,km,244.9929999999998,kcal,@DivyeshBC Watch 2.0,4.2,2018-01-13 19:48:13+01:00,2018-01-13 19:16:56+01:00,2018-01-13 19:48:10+01:00
98,Running,48.501860696077344,min,2.871449183597811,km,200.4709999999998,kcal,@DivyeshBC Watch 2.0,4.2,2018-01-14 19:21:37+01:00,2018-01-14 18:15:08+01:00,2018-01-14 19:21:33+01:00
99,Running,24.68971208532651,min,2.195824954017182,km,204.63200000000032,kcal,@DivyeshBC Watch 2.0,4.2,2018-01-14 21:10:19+01:00,2018-01-14 20:40:54+01:00,2018-01-14 21:10:17+01:00
108,Running,22.54818958640099,min,2.4897786766920467,km,248.00499999999968,kcal,@DivyeshBC Watch 2.0,4.2,2018-01-23 20:05:58+01:00,2018-01-23 19:35:42+01:00,2018-01-23 20:05:54+01:00
109,Running,23.34184975028038,min,2.522823243285646,km,224.5710000000003,kcal,@DivyeshBC Watch 2.0,4.2,2018-01-24 20:11:35+01:00,2018-01-24 19:41:21+01:00,2018-01-24 20:11:31+01:00
113,Running,17.28059056599935,min,2.013009291653871,km,167.4690000000002,kcal,@DivyeshBC Watch 2.0,4.2,2018-01-28 19:47:45+01:00,2018-01-28 19:24:25+01:00,2018-01-28 19:47:42+01:00
116,Running,54.687032673756285,min,5.484064440533286,km,471.4120000000004,kcal,@DivyeshBC Watch 2.0,4.2.2,2018-02-03 11:15:02+01:00,2018-02-03 10:12:38+01:00,2018-02-03 11:14:59+01:00
121,Running,24.08081778089205,min,2.756035142445355,km,216.96499999999958,kcal,@DivyeshBC Watch 2.0,4.2.2,2018-02-06 20:31:41+01:00,2018-02-06 19:59:46+01:00,2018-02-06 20:31:38+01:00
122,Running,18.692761347691217,min,2.3815195937898244,km,219.95900000000043,kcal,@DivyeshBC Watch 2.0,4.2.2,2018-02-07 20:35:23+01:00,2018-02-07 20:13:30+01:00,2018-02-07 20:35:20+01:00
125,Running,20.13838338653246,min,2.3541400856908883,km,192.4439999999996,kcal,@DivyeshBC Watch 2.0,4.2.2,2018-02-13 20:05:37+01:00,2018-02-13 19:44:02+01:00,2018-02-13 20:05:35+01:00
128,Running,17.2776031712691,min,1.8476967773886859,km,171.7479999999997,kcal,@DivyeshBC Watch 2.0,4.2.2,2018-02-16 20:36:55+01:00,2018-02-16 20:16:34+01:00,2018-02-16 20:36:53+01:00
130,Running,38.330046512683225,min,3.9266118843522855,km,421.6480000000016,kcal,@DivyeshBC Watch 2.0,4.2.2,2018-02-18 12:13:59+01:00,2018-02-18 11:28:08+01:00,2018-02-18 12:13:55+01:00
133,Running,23.198170314232513,min,2.6272505111070354,km,227.5160000000003,kcal,@DivyeshBC Watch 2.0,4.2.2,2018-02-21 19:32:46+01:00,2018-02-21 19:05:35+01:00,2018-02-21 19:32:44+01:00
136,Running,58.53159911632538,min,5.447393339380389,km,584.5930000000037,kcal,@DivyeshBC Watch 2.0,4.2.2,2018-02-25 10:46:22+01:00,2018-02-25 09:35:20+01:00,2018-02-25 10:46:17+01:00
138,Running,20.753431189060212,min,2.290649839431047,km,182.89100000000008,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-02-28 07:04:57+01:00,2018-02-28 06:39:42+01:00,2018-02-28 07:04:55+01:00
142,Running,20.044175012906393,min,2.2476155714541672,km,188.90400000000002,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-03-07 20:53:44+01:00,2018-03-07 20:28:54+01:00,2018-03-07 20:53:42+01:00
144,Running,38.51531910300255,min,3.566104306525551,km,376.4939999999992,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-03-10 09:40:27+01:00,2018-03-10 08:48:47+01:00,2018-03-10 09:40:24+01:00
145,Running,22.17918043732643,min,2.5454295610166153,km,238.2919999999998,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-03-11 10:06:41+01:00,2018-03-11 09:35:11+01:00,2018-03-11 10:06:39+01:00
148,Running,21.53972783684731,min,2.302631343150744,km,219.70800000000008,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-03-14 20:46:03+01:00,2018-03-14 20:19:58+01:00,2018-03-14 20:46:02+01:00
150,Running,24.225363632043198,min,2.3871406396704256,km,212.3619999999998,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-03-17 08:36:26+01:00,2018-03-17 07:58:27+01:00,2018-03-17 08:36:23+01:00
153,Running,19.773823338747032,min,2.165463263138663,km,216.39099999999982,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-03-20 20:50:07+01:00,2018-03-20 20:26:35+01:00,2018-03-20 20:50:05+01:00
154,Running,35.796843196948366,min,3.6000950574169397,km,345.3430000000003,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-03-21 20:00:21+01:00,2018-03-21 19:14:10+01:00,2018-03-21 20:00:16+01:00
156,Running,42.8637978831927,min,4.533757975061191,km,471.194999999999,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-03-24 09:05:38+01:00,2018-03-24 08:12:23+01:00,2018-03-24 09:05:34+01:00
158,Running,39.04473280509313,min,3.771977415042696,km,368.3090000000006,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-03-25 09:44:40+01:00,2018-03-25 08:54:45+01:00,2018-03-25 09:44:36+01:00
160,Running,31.495146564642592,min,3.286688229586696,km,309.1669999999994,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-03-27 18:19:58+01:00,2018-03-27 17:40:29+01:00,2018-03-27 18:19:56+01:00
161,Running,20.00907378594081,min,2.271351125819376,km,211.61699999999982,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-03-28 18:29:14+01:00,2018-03-28 18:06:49+01:00,2018-03-28 18:29:12+01:00
163,Running,22.373165959119802,min,2.412064269136172,km,222.53599999999958,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-03-30 22:32:41+01:00,2018-03-30 22:02:21+01:00,2018-03-30 22:32:39+01:00
165,Running,26.40210103988647,min,2.915031498749507,km,253.65499999999992,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-04-01 11:04:03+01:00,2018-04-01 10:30:38+01:00,2018-04-01 11:03:59+01:00
167,Running,21.10598084727923,min,2.413236176682636,km,218.4870000000002,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-04-03 05:06:37+01:00,2018-04-03 04:40:04+01:00,2018-04-03 05:06:34+01:00
169,Running,19.002365084489192,min,2.2663927412068006,km,221.64900000000043,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-04-04 18:06:28+01:00,2018-04-04 17:43:16+01:00,2018-04-04 18:06:25+01:00
172,Running,26.55064124663671,min,3.072358444139361,km,317.8489999999996,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-04-07 09:43:56+01:00,2018-04-07 09:12:18+01:00,2018-04-07 09:43:52+01:00
174,Running,27.29804579218229,min,3.008483812154969,km,278.7049999999996,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-04-08 09:18:54+01:00,2018-04-08 08:42:26+01:00,2018-04-08 09:18:51+01:00
175,Running,25.173216950893398,min,2.92381680904096,km,288.8230000000002,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-04-10 18:31:38+01:00,2018-04-10 18:00:57+01:00,2018-04-10 18:31:35+01:00
178,Running,27.219960353771853,min,2.957007674928522,km,290.0380000000005,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-04-14 10:16:38+01:00,2018-04-14 09:43:31+01:00,2018-04-14 10:16:35+01:00
180,Running,22.879893819491073,min,2.46620087644388,km,201.85400000000018,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-04-15 09:35:52+01:00,2018-04-15 09:00:45+01:00,2018-04-15 09:35:50+01:00
181,Running,23.34224593440691,min,2.740675615715328,km,235.2230000000003,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-04-16 18:06:10+01:00,2018-04-16 17:39:47+01:00,2018-04-16 18:06:08+01:00
184,Running,21.001920656363172,min,2.227128997076768,km,211.10800000000032,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-04-18 18:34:49+01:00,2018-04-18 18:09:02+01:00,2018-04-18 18:34:46+01:00
187,Running,38.23811848958334,min,3.7925619585891255,km,390.3320000000004,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-04-21 11:13:25+01:00,2018-04-21 10:08:06+01:00,2018-04-21 11:13:21+01:00
188,Running,23.957790215810142,min,2.594095332078869,km,230.7839999999995,kcal,@DivyeshBC Watch 2.0,4.2.3,2018-04-22 09:54:07+01:00,2018-04-22 09:20:37+01:00,2018-04-22 09:54:04+01:00
